iteracion,energia,magnetizacion
0,-1.140625,0.515625
1280,-1.406250,0.429688
2560,-1.343750,0.609375
3840,-1.656250,0.812500
5120,-1.687500,0.906250
6400,-1.718750,0.906250
7680,-1.593750,0.851562
8960,-1.718750,0.890625
10240,-1.781250,0.937500
11520,-1.718750,0.906250
12800,-1.875000,0.968750
14080,-1.843750,0.945312
15360,-1.843750,0.953125
16640,-1.812500,0.945312
17920,-1.796875,0.921875
19200,-1.687500,0.906250
20480,-1.734375,0.921875
21760,-1.703125,0.921875
23040,-1.828125,0.953125
24320,-1.843750,0.953125
25600,-1.828125,0.945312
26880,-1.656250,0.898438
28160,-1.656250,0.890625
29440,-1.718750,0.882812
30720,-1.687500,0.914062
32000,-1.781250,0.929688
33280,-1.625000,0.757812
34560,-1.734375,0.906250
35840,-1.796875,0.945312
37120,-1.875000,0.968750
38400,-1.859375,0.945312
39680,-1.828125,0.953125
40960,-1.656250,0.867188
42240,-1.843750,0.953125
43520,-1.890625,0.968750
44800,-1.812500,0.937500
46080,-1.843750,0.960938
47360,-1.843750,0.937500
48640,-1.781250,0.937500
49920,-1.656250,0.875000
51200,-1.796875,0.945312
52480,-1.656250,0.867188
53760,-1.750000,0.937500
55040,-1.515625,0.796875
56320,-1.875000,0.968750
57600,-1.593750,0.843750
58880,-1.656250,0.898438
60160,-1.593750,0.882812
61440,-1.796875,0.929688
62720,-1.656250,0.890625
64000,-1.656250,0.882812
65280,-1.828125,0.937500
66560,-1.828125,0.945312
67840,-1.828125,0.953125
69120,-1.765625,0.937500
70400,-1.890625,0.968750
71680,-1.671875,0.898438
72960,-1.718750,0.898438
74240,-1.640625,0.882812
75520,-1.687500,0.890625
76800,-1.890625,0.968750
78080,-1.734375,0.921875
79360,-1.812500,0.921875
80640,-1.843750,0.960938
81920,-1.734375,0.921875
83200,-1.781250,0.914062
84480,-1.687500,0.875000
85760,-1.781250,0.937500
87040,-1.734375,0.914062
88320,-1.875000,0.968750
89600,-1.578125,0.843750
90880,-1.718750,0.914062
92160,-1.796875,0.945312
93440,-1.796875,0.937500
94720,-1.765625,0.929688
96000,-1.812500,0.953125
97280,-1.812500,0.945312
98560,-1.562500,0.859375
99840,-1.937500,0.984375
101120,-1.734375,0.921875
102400,-1.750000,0.914062
103680,-1.875000,0.960938
104960,-1.796875,0.914062
106240,-1.781250,0.937500
107520,-1.750000,0.929688
108800,-1.640625,0.867188
110080,-1.718750,0.914062
111360,-1.796875,0.945312
112640,-1.703125,0.906250
113920,-1.750000,0.921875
115200,-1.921875,0.976562
116480,-1.796875,0.929688
117760,-1.656250,0.875000
119040,-1.890625,0.968750
120320,-1.828125,0.945312
121600,-1.750000,0.929688
122880,-1.718750,0.921875
124160,-1.703125,0.898438
125440,-1.687500,0.914062
126720,-1.703125,0.914062
128000,-1.812500,0.906250
129280,-1.718750,0.906250
130560,-1.968750,0.992188
131840,-1.593750,0.851562
133120,-1.765625,0.921875
134400,-1.640625,0.898438
135680,-1.609375,0.859375
136960,-1.890625,0.968750
138240,-1.828125,0.953125
139520,-1.765625,0.929688
140800,-1.812500,0.945312
142080,-1.671875,0.875000
143360,-1.562500,0.843750
144640,-1.906250,0.976562
145920,-1.875000,0.968750
147200,-1.687500,0.828125
148480,-1.796875,0.937500
149760,-1.875000,0.960938
151040,-1.671875,0.835938
152320,-1.906250,0.976562
153600,-1.562500,0.812500
154880,-1.750000,0.906250
156160,-1.609375,0.867188
157440,-1.875000,0.968750
158720,-1.968750,0.992188
160000,-1.578125,0.882812
161280,-1.671875,0.906250
162560,-1.875000,0.968750
163840,-1.953125,0.984375
165120,-1.937500,0.984375
166400,-1.718750,0.921875
167680,-1.640625,0.898438
168960,-1.890625,0.968750
170240,-1.843750,0.960938
171520,-1.703125,0.875000
172800,-1.890625,0.968750
174080,-1.765625,0.921875
175360,-1.703125,0.906250
176640,-1.781250,0.921875
177920,-1.625000,0.890625
179200,-1.828125,0.945312
180480,-1.656250,0.867188
181760,-1.562500,0.867188
183040,-1.640625,0.890625
184320,-1.531250,0.750000
185600,-1.828125,0.937500
186880,-1.656250,0.835938
188160,-1.812500,0.906250
189440,-1.875000,0.960938
190720,-1.546875,0.859375
192000,-1.750000,0.914062
193280,-1.875000,0.968750
194560,-1.625000,0.882812
195840,-1.750000,0.914062
197120,-1.437500,0.804688
198400,-1.578125,0.843750
199680,-1.812500,0.953125
200960,-1.671875,0.890625
202240,-1.875000,0.960938
203520,-1.781250,0.929688
204800,-1.765625,0.921875
206080,-1.796875,0.929688
207360,-1.843750,0.960938
208640,-1.687500,0.890625
209920,-1.750000,0.906250
211200,-1.781250,0.914062
212480,-1.828125,0.945312
213760,-1.640625,0.882812
215040,-1.593750,0.875000
216320,-1.890625,0.968750
217600,-1.828125,0.953125
218880,-1.687500,0.906250
220160,-1.937500,0.984375
221440,-1.843750,0.960938
222720,-1.796875,0.937500
224000,-1.828125,0.953125
225280,-1.625000,0.875000
226560,-1.734375,0.914062
227840,-1.750000,0.859375
229120,-1.187500,0.351562
230400,-1.296875,0.476562
231680,-1.812500,0.937500
232960,-1.656250,0.882812
234240,-1.625000,0.882812
235520,-1.968750,0.992188
236800,-1.656250,0.828125
238080,-1.687500,0.906250
239360,-1.703125,0.914062
240640,-1.593750,0.812500
241920,-1.812500,0.953125
243200,-1.890625,0.968750
244480,-1.734375,0.929688
245760,-1.687500,0.882812
247040,-1.546875,0.828125
248320,-1.890625,0.968750
249600,-1.828125,0.945312
250880,-1.671875,0.867188
252160,-1.890625,0.968750
253440,-1.734375,0.898438
254720,-1.750000,0.921875
256000,-1.812500,0.937500
