T,E_mean,M_mean,Cv,Chi
1.500000,-1.951516,0.986500,0.198233,0.028271
1.550000,-1.938641,0.982766,0.226318,0.035419
1.600000,-1.926672,0.979219,0.254413,0.040980
1.650000,-1.916047,0.975719,0.297288,0.055912
1.700000,-1.899812,0.970570,0.339063,0.067672
1.750000,-1.878703,0.963414,0.399935,0.094808
1.800000,-1.857078,0.956227,0.421555,0.108641
1.850000,-1.832500,0.947133,0.493455,0.150344
1.900000,-1.810000,0.937820,0.617043,0.225241
1.950000,-1.783484,0.927742,0.619470,0.278261
2.000000,-1.745078,0.910977,0.722246,0.326648
2.050000,-1.698906,0.884930,0.911408,0.949966
2.100000,-1.662187,0.864047,0.978963,1.344095
2.150000,-1.617219,0.843664,1.116847,1.331692
2.200000,-1.548219,0.799516,1.267415,1.991035
2.250000,-1.486312,0.739344,1.421835,3.886788
2.300000,-1.418313,0.692133,1.389792,3.949982
2.350000,-1.327312,0.595031,1.514071,5.875194
2.400000,-1.253141,0.517484,1.478153,5.714123
2.450000,-1.185734,0.446625,1.237987,5.674246
2.500000,-1.126031,0.380758,0.954356,5.031236
2.550000,-1.074625,0.338641,0.853055,4.338114
2.600000,-1.045078,0.301078,0.795726,3.824210
2.650000,-1.005125,0.285977,0.744219,3.463933
2.700000,-0.971313,0.251242,0.640184,2.719327
2.750000,-0.934828,0.227695,0.545535,2.307420
2.800000,-0.907703,0.216875,0.503622,2.120170
2.850000,-0.888625,0.205797,0.490671,2.016870
2.900000,-0.858547,0.187844,0.458548,1.636337
2.950000,-0.838641,0.182461,0.403161,1.592262
3.000000,-0.823484,0.172063,0.420353,1.426726
3.050000,-0.802766,0.163781,0.396606,1.212852
3.100000,-0.774656,0.155969,0.326716,1.042796
3.150000,-0.764906,0.155727,0.339871,1.032453
3.200000,-0.739328,0.140578,0.290189,0.835322
3.250000,-0.729547,0.142430,0.324471,0.847229
3.300000,-0.722297,0.141742,0.296990,0.837995
3.350000,-0.699891,0.133234,0.268190,0.765425
3.400000,-0.690063,0.131438,0.295216,0.738258
3.450000,-0.672078,0.127766,0.255150,0.713699
3.500000,-0.652828,0.125742,0.244169,0.595723
