T,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1.500000,0.002490,0.000224,0.000036,-0.000026,-0.000089,-0.000057,-0.000026,0.000036
1.550000,0.003687,0.000625,-0.000031,-0.000078,0.000047,-0.000000,-0.000047,-0.000016
1.600000,0.004224,0.000584,0.000099,-0.000057,-0.000072,-0.000041,0.000021,-0.000026
1.650000,0.005832,0.001082,0.000457,0.000207,0.000020,0.000051,0.000020,-0.000308
1.700000,0.007806,0.001368,0.000228,0.000243,0.000165,0.000009,0.000290,0.000071
1.750000,0.010958,0.002568,0.000786,0.000458,0.000130,0.000036,0.000115,0.000068
1.800000,0.013990,0.002725,0.000334,-0.000119,0.000037,-0.000119,0.000006,-0.000135
1.850000,0.018908,0.004564,0.001346,0.000549,0.000346,-0.000029,-0.000436,-0.000201
1.900000,0.025509,0.007134,0.001946,0.001259,0.000759,0.000446,0.000274,0.000509
1.950000,0.030966,0.009013,0.003529,0.001560,0.000529,0.000701,0.000560,0.000498
2.000000,0.042450,0.013559,0.004106,0.000919,-0.000035,-0.000519,-0.000066,-0.000206
2.050000,0.066306,0.027040,0.012946,0.006759,0.003478,0.002040,0.001337,0.000353
2.100000,0.084720,0.037892,0.020657,0.012173,0.008642,0.005970,0.005548,0.006048
2.150000,0.097215,0.042872,0.022668,0.012872,0.008122,0.005153,0.003559,0.003215
2.200000,0.135900,0.065681,0.035259,0.020869,0.012478,0.009587,0.007244,0.006150
2.250000,0.195965,0.108543,0.068074,0.044574,0.032324,0.024465,0.020652,0.019715
2.300000,0.230921,0.127030,0.076468,0.048030,0.031812,0.022858,0.017499,0.016530
2.350000,0.310297,0.181453,0.118157,0.081032,0.057485,0.043547,0.034703,0.033063
2.400000,0.358882,0.207351,0.130007,0.083226,0.052788,0.032101,0.021679,0.019335
2.450000,0.392417,0.225542,0.140214,0.087167,0.053089,0.032042,0.018589,0.015651
2.500000,0.417086,0.235523,0.140023,0.083586,0.049289,0.027070,0.016367,0.014289
2.550000,0.422416,0.231229,0.131869,0.074448,0.040260,0.016791,0.004135,0.001604
2.600000,0.434555,0.237633,0.134461,0.073336,0.036196,0.011961,-0.004023,-0.007804
2.650000,0.421249,0.219858,0.120092,0.061280,0.029421,0.012202,0.000842,-0.000861
2.700000,0.423159,0.215018,0.112284,0.055690,0.020471,-0.000435,-0.010232,-0.015201
2.750000,0.416858,0.205124,0.102155,0.046561,0.015608,-0.002408,-0.013330,-0.017830
2.800000,0.405825,0.194543,0.096512,0.042309,0.011825,-0.007582,-0.017832,-0.020910
2.850000,0.400773,0.192163,0.093757,0.045054,0.016413,-0.002805,-0.010727,-0.011259
2.900000,0.394855,0.180730,0.084762,0.036183,0.006590,-0.009957,-0.017395,-0.018723
2.950000,0.387755,0.173864,0.077317,0.030521,0.004927,-0.007073,-0.016026,-0.021995
3.000000,0.382051,0.169363,0.076973,0.029066,0.004676,-0.005684,-0.015152,-0.017731
3.050000,0.374254,0.158035,0.063848,0.024457,0.002004,-0.011059,-0.016902,-0.020199
3.100000,0.362674,0.147486,0.060736,0.019830,-0.000342,-0.008795,-0.014623,-0.018701
3.150000,0.356843,0.142234,0.055015,0.015780,-0.001782,-0.009220,-0.013110,-0.013579
3.200000,0.349894,0.133316,0.051550,0.014785,0.000285,-0.009309,-0.015168,-0.019825
3.250000,0.345526,0.133433,0.051729,0.020589,0.001308,-0.008380,-0.014630,-0.021927
3.300000,0.342050,0.129847,0.048065,0.010675,-0.004606,-0.010263,-0.014466,-0.014606
3.350000,0.331624,0.123999,0.043045,0.008374,-0.003814,-0.009673,-0.010080,-0.011283
3.400000,0.326990,0.118193,0.040974,0.006943,-0.005604,-0.011354,-0.014932,-0.012838
3.450000,0.315598,0.108973,0.034754,0.009113,-0.005012,-0.011105,-0.009371,-0.010324
3.500000,0.309158,0.101876,0.030986,0.002423,-0.009514,-0.014420,-0.012624,-0.012514
