temperature,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1.500000,0.0024005834,0.0002755834,0.0000099584,-0.0000837916,-0.0000056666,-0.0000837916,0.0000099584,0.0001193334
1.550000,0.0034902725,0.0004902725,0.0000215225,0.0000058975,0.0000058975,-0.0000878525,-0.0000409775,-0.0000253525
1.600000,0.0052621094,0.0006839844,0.0000589844,-0.0000035156,-0.0000972656,-0.0001285156,-0.0001128906,0.0000433594
1.650000,0.0058763748,0.0009544998,0.0000951248,-0.0000767502,0.0002826248,0.0000326248,-0.0000611252,-0.0001080002
1.700000,0.0080617361,0.0012179861,0.0005773611,0.0001086111,0.0000461111,-0.0001257639,0.0000304861,-0.0000163889
1.750000,0.0101368398,0.0018399648,0.0005743398,0.0001055898,-0.0000819102,-0.0000662852,-0.0000506602,-0.0001131602
1.800000,0.0144284443,0.0029128193,0.0006315693,0.0000378193,-0.0000403057,0.0000378193,0.0001628193,0.0003971943
1.850000,0.0185589158,0.0042620408,0.0011839158,0.0004964158,-0.0001442092,-0.0002848342,-0.0002067092,-0.0002692092
1.900000,0.0235333725,0.0053771225,0.0011583725,0.0002677475,-0.0002322525,-0.0001697525,-0.0000291275,0.0002364975
1.950000,0.0325930854,0.0095618354,0.0031555854,0.0014680854,0.0007805854,0.0007649604,0.0003587104,-0.0002350396
2.000000,0.0448592654,0.0152811404,0.0065780154,0.0033592654,0.0018748904,0.0010311404,0.0007186404,0.0001873904
2.050000,0.7299960981,0.6943398481,0.6823085981,0.6773554731,0.6750898481,0.6735429731,0.6729960981,0.6739023481
2.100000,0.5230696703,0.4761165453,0.4583977953,0.4504446703,0.4468352953,0.4462102953,0.4461477953,0.4460696703
2.150000,0.0987428428,0.0411490928,0.0201022178,0.0109147178,0.0056490928,0.0027897178,0.0010240928,-0.0001009072
2.200000,0.7119214301,0.6408120551,0.6110308051,0.5954214301,0.5857339301,0.5811870551,0.5790933051,0.5782495551
2.250000,0.7291333154,0.6366489404,0.5954301904,0.5708989404,0.5562426904,0.5473676904,0.5450239404,0.5441020654
2.300000,0.6963534744,0.5867753494,0.5336347244,0.5040409744,0.4856972244,0.4744784744,0.4686815994,0.4673065994
2.350000,0.6576258884,0.5275790134,0.4624852634,0.4237508884,0.4001883884,0.3862196384,0.3797196384,0.3773915134
2.400000,0.6170762914,0.4644825414,0.3830919164,0.3338731664,0.3026231664,0.2792481664,0.2672169164,0.2629044164
2.450000,0.5932863125,0.4238800625,0.3360363125,0.2858956875,0.2512706875,0.2283175625,0.2140519375,0.2105206875
2.500000,0.5646063669,0.3876688669,0.2943563669,0.2384501169,0.2019813669,0.1783563669,0.1655126169,0.1610282419
2.550000,0.5392318728,0.3477474978,0.2482006228,0.1921224978,0.1583568728,0.1367318728,0.1223412478,0.1176224978
2.600000,0.5182048969,0.3219080219,0.2212517719,0.1649705219,0.1288923969,0.1092673969,0.0967830219,0.0930955219
2.650000,0.4993456211,0.2992518711,0.1985018711,0.1375174961,0.1030956211,0.0808924961,0.0691112461,0.0648924961
2.700000,0.4828635131,0.2749728881,0.1719885131,0.1179416381,0.0860666381,0.0633322631,0.0511603881,0.0460666381
2.750000,0.4673996836,0.2576028086,0.1546809336,0.0978996836,0.0686809336,0.0501028086,0.0406028086,0.0372434336
2.800000,0.4509650974,0.2385432224,0.1374494724,0.0823088474,0.0516838474,0.0367775974,0.0266525974,0.0251994724
2.850000,0.4448676899,0.2301333149,0.1282270649,0.0753364399,0.0475239399,0.0331333149,0.0267426899,0.0255864399
2.900000,0.4284965527,0.2133715527,0.1162465527,0.0650434277,0.0349653027,0.0198871777,0.0160434277,0.0142153027
2.950000,0.4184843201,0.2055311951,0.1094218201,0.0617968201,0.0363280701,0.0235155701,0.0197655701,0.0172186951
3.000000,0.4048066345,0.1897285095,0.0983691345,0.0540253845,0.0318066345,0.0198535095,0.0149003845,0.0118691345
3.050000,0.4009841599,0.1827810349,0.0899529099,0.0465310349,0.0261091599,0.0172029099,0.0085779099,0.0045935349
3.100000,0.3885203412,0.1725515912,0.0828484662,0.0438640912,0.0229734662,0.0101765912,0.0060984662,0.0020515912
3.150000,0.3812802810,0.1714521560,0.0819834060,0.0435302810,0.0247959060,0.0115302810,0.0064990310,0.0043427810
3.200000,0.3739515815,0.1624047065,0.0739672065,0.0354984565,0.0158890815,0.0093890815,0.0058265815,0.0037640815
3.250000,0.3629639648,0.1492608398,0.0649170898,0.0303702148,0.0110733398,0.0026514648,0.0018702148,0.0040420898
3.300000,0.3538430771,0.1421399521,0.0609212021,0.0273118271,0.0132024521,0.0055149521,0.0014680771,-0.0009537979
3.350000,0.3510697693,0.1405853943,0.0606166443,0.0298353943,0.0132416443,0.0083666443,0.0069291443,0.0034291443
3.400000,0.3401007919,0.1328976669,0.0532882919,0.0246789169,0.0127414169,0.0072570419,0.0041007919,0.0038820419
3.450000,0.3350154785,0.1277811035,0.0550311035,0.0263279785,0.0114686035,0.0053436035,0.0045623535,0.0052342285
3.500000,0.3333593125,0.1254686875,0.0502186875,0.0237499375,0.0088905625,0.0041718125,0.0043905625,0.0025936875
