sweep,energy_per_spin,abs_magnetization_per_spin
0,-0.9062500000,0.2031250000
1,-0.9375000000,0.2031250000
2,-1.1562500000,0.2500000000
3,-1.3906250000,0.2968750000
4,-1.4218750000,0.4062500000
5,-1.3125000000,0.4765625000
6,-1.3125000000,0.5781250000
7,-1.2968750000,0.6250000000
8,-1.4218750000,0.6718750000
9,-1.6718750000,0.8281250000
10,-1.6250000000,0.8750000000
11,-1.8593750000,0.9531250000
12,-1.6718750000,0.8984375000
13,-1.7656250000,0.9375000000
14,-1.7187500000,0.9218750000
15,-1.5312500000,0.8593750000
16,-1.9062500000,0.9687500000
17,-1.7500000000,0.9296875000
18,-1.7656250000,0.9140625000
19,-1.7656250000,0.9218750000
20,-1.7500000000,0.9218750000
21,-1.7187500000,0.8828125000
22,-1.7031250000,0.9140625000
23,-1.6562500000,0.8984375000
24,-1.7656250000,0.9062500000
25,-1.8281250000,0.9453125000
26,-1.7656250000,0.9296875000
27,-1.7656250000,0.9296875000
28,-1.8125000000,0.9531250000
29,-1.6250000000,0.8828125000
30,-1.6875000000,0.8828125000
31,-1.7031250000,0.9140625000
32,-1.8125000000,0.9531250000
33,-1.8593750000,0.9609375000
34,-1.8281250000,0.9453125000
35,-1.6718750000,0.9062500000
36,-1.7187500000,0.8984375000
37,-1.6562500000,0.8984375000
38,-1.7968750000,0.9218750000
39,-1.7187500000,0.8984375000
40,-1.7968750000,0.9296875000
41,-1.8906250000,0.9453125000
42,-1.7656250000,0.9375000000
43,-1.8750000000,0.9609375000
44,-1.8281250000,0.9375000000
45,-1.7187500000,0.9062500000
46,-1.5937500000,0.8281250000
47,-1.8125000000,0.9296875000
48,-1.8437500000,0.9609375000
49,-1.6875000000,0.8906250000
50,-1.7187500000,0.9062500000
51,-1.9375000000,0.9843750000
52,-1.7500000000,0.9218750000
53,-1.7968750000,0.9453125000
54,-1.7500000000,0.9296875000
55,-1.8593750000,0.9531250000
56,-1.9062500000,0.9765625000
57,-1.9687500000,0.9921875000
58,-1.8593750000,0.9375000000
59,-1.7968750000,0.9453125000
60,-1.8437500000,0.9609375000
61,-1.6093750000,0.8828125000
62,-1.6406250000,0.8437500000
63,-1.6875000000,0.8750000000
64,-1.7500000000,0.9218750000
65,-1.7343750000,0.9218750000
66,-1.9062500000,0.9765625000
67,-1.8750000000,0.9609375000
68,-1.9062500000,0.9765625000
69,-1.8906250000,0.9687500000
70,-1.8281250000,0.9453125000
71,-1.9062500000,0.9687500000
72,-1.8750000000,0.9609375000
73,-1.8750000000,0.9687500000
74,-1.7812500000,0.9375000000
75,-1.6718750000,0.9062500000
76,-1.6875000000,0.8984375000
77,-1.7656250000,0.9218750000
78,-1.7500000000,0.9140625000
79,-1.8437500000,0.9453125000
80,-1.8593750000,0.9609375000
81,-1.8437500000,0.9531250000
82,-1.6406250000,0.8828125000
83,-1.6562500000,0.8671875000
84,-1.6406250000,0.8281250000
85,-1.8281250000,0.9218750000
86,-1.8437500000,0.9531250000
87,-1.7812500000,0.9375000000
88,-1.6562500000,0.9062500000
89,-1.7656250000,0.9218750000
90,-1.7187500000,0.9218750000
91,-1.8437500000,0.9609375000
92,-1.8437500000,0.9609375000
93,-1.7187500000,0.9218750000
94,-1.6875000000,0.8593750000
95,-1.8125000000,0.9531250000
96,-1.9062500000,0.9765625000
97,-1.8906250000,0.9687500000
98,-1.9062500000,0.9687500000
99,-1.7656250000,0.9375000000
100,-1.7968750000,0.9453125000
101,-1.8750000000,0.9687500000
102,-1.8125000000,0.9453125000
103,-1.6562500000,0.8984375000
104,-1.7187500000,0.9062500000
105,-1.6718750000,0.8906250000
106,-1.5781250000,0.8828125000
107,-1.5468750000,0.8281250000
108,-1.6562500000,0.8437500000
109,-1.6718750000,0.8437500000
110,-1.5781250000,0.8671875000
111,-1.6562500000,0.8593750000
112,-1.7187500000,0.9218750000
113,-1.8437500000,0.9609375000
114,-1.8125000000,0.9531250000
115,-1.7656250000,0.9296875000
116,-1.7343750000,0.9062500000
117,-1.6250000000,0.8750000000
118,-1.5156250000,0.8437500000
119,-1.7968750000,0.9296875000
120,-1.7968750000,0.9453125000
121,-1.8125000000,0.9218750000
122,-1.7031250000,0.8984375000
123,-1.7812500000,0.9296875000
124,-1.7343750000,0.9296875000
125,-1.7500000000,0.9062500000
126,-1.6406250000,0.8906250000
127,-1.8125000000,0.9453125000
128,-1.8750000000,0.9687500000
129,-1.8437500000,0.9609375000
130,-1.7656250000,0.9296875000
131,-1.9062500000,0.9765625000
132,-1.8437500000,0.9531250000
133,-1.7500000000,0.9140625000
134,-1.7500000000,0.9375000000
135,-1.7343750000,0.9218750000
136,-1.7031250000,0.8984375000
137,-1.7187500000,0.8593750000
138,-1.6875000000,0.8437500000
139,-1.6875000000,0.9062500000
140,-1.7187500000,0.9140625000
141,-1.8281250000,0.9453125000
142,-1.7031250000,0.9062500000
143,-1.7187500000,0.9140625000
144,-1.9375000000,0.9843750000
145,-1.8593750000,0.9609375000
146,-1.8437500000,0.9531250000
147,-1.9062500000,0.9765625000
148,-1.8593750000,0.9531250000
149,-1.7968750000,0.9375000000
150,-1.7031250000,0.8906250000
151,-1.6562500000,0.8828125000
152,-1.7343750000,0.9218750000
153,-1.8125000000,0.9453125000
154,-1.7500000000,0.9140625000
155,-1.8750000000,0.9687500000
156,-1.7812500000,0.9453125000
157,-1.8437500000,0.9531250000
158,-1.7968750000,0.9453125000
159,-1.8125000000,0.9453125000
160,-1.7343750000,0.9140625000
161,-1.7656250000,0.9375000000
162,-1.7656250000,0.9296875000
163,-1.8593750000,0.9609375000
164,-1.8125000000,0.9375000000
165,-1.8125000000,0.9375000000
166,-1.7812500000,0.9375000000
167,-1.9062500000,0.9765625000
168,-1.8437500000,0.9531250000
169,-1.7656250000,0.9218750000
170,-1.8750000000,0.9687500000
171,-1.8125000000,0.9531250000
172,-1.8593750000,0.9609375000
173,-1.9687500000,0.9921875000
174,-1.8125000000,0.9453125000
175,-1.8437500000,0.9609375000
176,-1.8281250000,0.9453125000
177,-1.7812500000,0.9375000000
178,-1.8281250000,0.9531250000
179,-1.6562500000,0.8828125000
180,-1.6250000000,0.8828125000
181,-1.7187500000,0.8984375000
182,-1.7187500000,0.9218750000
183,-1.7031250000,0.8984375000
184,-1.7656250000,0.9062500000
185,-1.7812500000,0.9375000000
186,-1.8906250000,0.9609375000
187,-1.9531250000,0.9843750000
188,-1.8437500000,0.9531250000
189,-1.8750000000,0.9687500000
190,-1.7812500000,0.9140625000
191,-1.5937500000,0.8671875000
192,-1.5937500000,0.8593750000
193,-1.7500000000,0.9296875000
194,-1.7500000000,0.9218750000
195,-1.7187500000,0.9140625000
196,-1.8281250000,0.9453125000
197,-1.8125000000,0.9531250000
198,-1.8593750000,0.9609375000
199,-1.9218750000,0.9765625000
200,-1.8750000000,0.9687500000
201,-1.7812500000,0.9453125000
202,-1.7812500000,0.9218750000
203,-1.8593750000,0.9609375000
204,-1.7656250000,0.9218750000
205,-1.7031250000,0.8828125000
206,-1.6093750000,0.8437500000
207,-1.6406250000,0.8437500000
208,-1.7968750000,0.8984375000
209,-1.5625000000,0.8593750000
210,-1.8125000000,0.9375000000
211,-1.7343750000,0.9062500000
212,-1.8437500000,0.9375000000
213,-1.7500000000,0.9218750000
214,-1.8125000000,0.9453125000
215,-1.9687500000,0.9921875000
216,-1.7812500000,0.9375000000
217,-1.7031250000,0.9140625000
218,-1.6718750000,0.8593750000
219,-1.6250000000,0.8593750000
220,-1.6093750000,0.8281250000
221,-1.5625000000,0.7812500000
222,-1.6875000000,0.7421875000
223,-1.5000000000,0.7265625000
224,-1.4687500000,0.7734375000
225,-1.7343750000,0.9218750000
226,-1.6875000000,0.8828125000
227,-1.5312500000,0.7656250000
228,-1.4531250000,0.6953125000
229,-1.4375000000,0.6718750000
230,-1.3906250000,0.5937500000
231,-1.5156250000,0.6718750000
232,-1.5312500000,0.6093750000
233,-1.6093750000,0.5937500000
234,-1.6250000000,0.6250000000
235,-1.5312500000,0.6406250000
236,-1.4687500000,0.7187500000
237,-1.7500000000,0.7968750000
238,-1.5312500000,0.8125000000
239,-1.5937500000,0.7890625000
240,-1.6875000000,0.8515625000
241,-1.6406250000,0.8593750000
242,-1.7031250000,0.9218750000
243,-1.8437500000,0.9609375000
244,-1.9375000000,0.9843750000
245,-1.8281250000,0.9531250000
246,-1.8593750000,0.9609375000
247,-1.8750000000,0.9687500000
248,-1.7968750000,0.9375000000
249,-1.7187500000,0.9140625000
250,-1.6718750000,0.8984375000
251,-1.7656250000,0.9375000000
252,-1.8437500000,0.9453125000
253,-1.6718750000,0.8750000000
254,-1.6250000000,0.8593750000
255,-1.7968750000,0.9453125000
256,-1.6406250000,0.8984375000
257,-1.7500000000,0.9296875000
258,-1.7812500000,0.9375000000
259,-1.7968750000,0.9296875000
260,-1.7812500000,0.9218750000
261,-1.7500000000,0.9375000000
262,-1.5625000000,0.8671875000
263,-1.5000000000,0.8281250000
264,-1.6406250000,0.8671875000
265,-1.7343750000,0.9140625000
266,-1.6718750000,0.8984375000
267,-1.8593750000,0.9531250000
268,-1.8750000000,0.9687500000
269,-1.9218750000,0.9765625000
270,-1.7500000000,0.9296875000
271,-1.7968750000,0.9453125000
272,-1.7968750000,0.9453125000
273,-1.8125000000,0.9453125000
274,-1.7968750000,0.9375000000
275,-1.7656250000,0.9218750000
276,-1.9062500000,0.9687500000
277,-1.8750000000,0.9687500000
278,-1.7500000000,0.9062500000
279,-1.8281250000,0.9140625000
280,-1.7968750000,0.9140625000
281,-1.5781250000,0.8359375000
282,-1.5781250000,0.8359375000
283,-1.5781250000,0.7812500000
284,-1.5312500000,0.7968750000
285,-1.3437500000,0.7187500000
286,-1.7187500000,0.8437500000
287,-1.6562500000,0.8750000000
288,-1.6718750000,0.9140625000
289,-1.6875000000,0.9140625000
290,-1.6718750000,0.8437500000
291,-1.6875000000,0.8515625000
292,-1.7187500000,0.9218750000
293,-1.6562500000,0.8906250000
294,-1.7343750000,0.9062500000
295,-1.8125000000,0.9531250000
296,-1.7812500000,0.9296875000
297,-1.7968750000,0.9453125000
298,-1.7500000000,0.8750000000
299,-1.6093750000,0.8750000000
300,-1.6875000000,0.8906250000
301,-1.8593750000,0.9609375000
302,-1.8437500000,0.9531250000
303,-1.9375000000,0.9843750000
304,-1.8281250000,0.9531250000
305,-1.7031250000,0.9140625000
306,-1.7187500000,0.9062500000
307,-1.8281250000,0.9375000000
308,-1.6718750000,0.9062500000
309,-1.7343750000,0.8984375000
310,-1.7812500000,0.9375000000
311,-1.9375000000,0.9843750000
312,-1.8750000000,0.9687500000
313,-1.8593750000,0.9531250000
314,-1.6406250000,0.8906250000
315,-1.8125000000,0.9375000000
316,-1.8906250000,0.9687500000
317,-1.8281250000,0.9453125000
318,-1.8125000000,0.9218750000
319,-1.7656250000,0.9218750000
320,-1.7187500000,0.9140625000
321,-1.8750000000,0.9687500000
322,-1.9218750000,0.9687500000
323,-1.7812500000,0.9453125000
324,-1.8437500000,0.9609375000
325,-1.8593750000,0.9609375000
326,-1.9375000000,0.9687500000
327,-1.8125000000,0.9453125000
328,-1.8906250000,0.9687500000
329,-1.8750000000,0.9687500000
330,-1.8281250000,0.9531250000
331,-1.6875000000,0.8593750000
332,-1.6406250000,0.7890625000
333,-1.6093750000,0.7890625000
334,-1.4375000000,0.6718750000
335,-1.5312500000,0.6718750000
336,-1.4531250000,0.6640625000
337,-1.5312500000,0.7656250000
338,-1.7343750000,0.9140625000
339,-1.8593750000,0.9609375000
340,-1.7656250000,0.9296875000
341,-1.8281250000,0.9453125000
342,-1.8125000000,0.9453125000
343,-1.8281250000,0.9453125000
344,-1.7187500000,0.9140625000
345,-1.8750000000,0.9687500000
346,-1.8750000000,0.9609375000
347,-1.9062500000,0.9765625000
348,-1.8906250000,0.9687500000
349,-1.7656250000,0.9375000000
350,-1.7187500000,0.9218750000
351,-1.7187500000,0.8984375000
352,-1.8125000000,0.9453125000
353,-1.8125000000,0.9531250000
354,-1.8281250000,0.9531250000
355,-1.7500000000,0.9296875000
356,-1.7812500000,0.9453125000
357,-1.6875000000,0.8984375000
358,-1.7656250000,0.9218750000
359,-1.7968750000,0.9375000000
