temperature,energy_per_spin,abs_magnetization_per_spin,heat_capacity,susceptibility
1.500000,-1.9497187500,0.9861015625,0.2112354444,0.0284599896
1.550000,-1.9409062500,0.9834062500,0.2229572320,0.0342804839
1.600000,-1.9281718750,0.9793750000,0.2465476318,0.0416640625
1.650000,-1.9163281250,0.9759843750,0.2979103535,0.0533382955
1.700000,-1.9006718750,0.9706718750,0.3443241998,0.0692599632
1.750000,-1.8823750000,0.9648125000,0.3815758367,0.0869998571
1.800000,-1.8613750000,0.9573203125,0.4476006173,0.1131478385
1.850000,-1.8368750000,0.9485781250,0.4909495982,0.1408384797
1.900000,-1.8088125000,0.9383984375,0.5323459834,0.1724159128
1.950000,-1.7755156250,0.9244765625,0.6718657298,0.2720040946
2.000000,-1.7415937500,0.9084843750,0.7545711875,0.4207828437
2.050000,-1.7084218750,0.8923359375,0.8200785098,84.6688343826
2.100000,-1.6598281250,0.8646953125,0.9868559949,54.9553309449
2.150000,-1.6142343750,0.8414687500,1.0498685641,1.1181884884
2.200000,-1.5493593750,0.7931015625,1.2607659995,68.2952252202
2.250000,-1.4758125000,0.7296171875,1.4125394568,63.6716336042
2.300000,-1.4013281250,0.6668906250,1.4656164343,54.0785416033
2.350000,-1.3308125000,0.5961093750,1.4775284744,43.3284877394
2.400000,-1.2462656250,0.5034765625,1.4391262912,32.7657744727
2.450000,-1.1858281250,0.4447500000,1.1754014057,26.2734754082
2.500000,-1.1290312500,0.3906093750,1.0260743600,20.7899669750
2.550000,-1.0767031250,0.3396562500,0.8753817666,15.8123345833
2.600000,-1.0381250000,0.3093671875,0.7637241124,13.1826203786
2.650000,-0.9985625000,0.2747343750,0.7387107156,10.7550864151
2.700000,-0.9666250000,0.2487578125,0.5915252401,8.4914166609
2.750000,-0.9363906250,0.2327656250,0.5760161901,7.4242410000
2.800000,-0.9010000000,0.2049062500,0.5196835459,5.9487508705
2.850000,-0.8856250000,0.1973046875,0.4724345953,5.2040856963
2.900000,-0.8573593750,0.1845234375,0.4482636668,4.5932786584
2.950000,-0.8374687500,0.1775468750,0.4201407354,4.1530566737
3.000000,-0.8097656250,0.1723125000,0.4041276042,3.8337390625
3.050000,-0.7999687500,0.1626875000,0.3771485891,3.4541622746
3.100000,-0.7792500000,0.1512109375,0.3689231009,2.8769570111
3.150000,-0.7634531250,0.1535312500,0.3490153628,2.9073914881
3.200000,-0.7434531250,0.1472734375,0.3181362244,2.6325962451
3.250000,-0.7264843750,0.1411562500,0.3285205621,2.4433634615
3.300000,-0.7098281250,0.1342265625,0.2873218492,2.2115150331
3.350000,-0.7037500000,0.1363437500,0.2856003564,2.2385592351
3.400000,-0.6826250000,0.1299609375,0.2575403114,1.9540274586
3.450000,-0.6695312500,0.1251171875,0.2588400546,1.8022490897
3.500000,-0.6651718750,0.1255312500,0.2449946888,1.8195132857
