temperature,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
1.500000,0.0024938989,0.0002282739,0.0000563989,-0.0000061011,-0.0000529761,-0.0000998511,-0.0000529761,-0.0000373511
1.550000,0.0032971664,0.0002346664,0.0000159164,0.0000159164,0.0000627914,-0.0000153336,0.0000002914,0.0001409164
1.600000,0.0040955459,0.0004549209,0.0000017959,0.0000486709,-0.0000919541,0.0001580459,0.0000642959,-0.0000138291
1.650000,0.0060812461,0.0009874961,0.0001437461,0.0000812461,-0.0000750039,0.0000656211,0.0000499961,0.0001906211
1.700000,0.0080749756,0.0014031006,0.0003562256,-0.0000656494,-0.0000500244,-0.0000500244,0.0000749756,0.0000906006
1.750000,0.0108109741,0.0019515991,0.0006390991,0.0003109741,-0.0000327759,-0.0003296509,-0.0002046509,-0.0003140259
1.800000,0.0141570419,0.0028914169,0.0007507919,-0.0000929581,-0.0000148331,0.0000320419,-0.0001867081,-0.0000304581
1.850000,0.0181472439,0.0040066189,0.0008347439,-0.0002121311,-0.0000402561,0.0003034939,-0.0000558811,-0.0001496311
1.900000,0.0231095873,0.0053908373,0.0012033373,-0.0000154127,0.0002658373,-0.0001091627,-0.0001560377,-0.0003904127
1.950000,0.0304999824,0.0084218574,0.0025781074,0.0005624824,-0.0001718926,0.0002031074,0.0001093574,-0.0002656426
2.000000,0.0432856786,0.0153013036,0.0060356786,0.0020669286,0.0008325536,0.0004419286,0.0006763036,0.0007700536
2.050000,0.0603502973,0.0229596723,0.0107565473,0.0045221723,0.0016940473,0.0010221723,0.0010846723,0.0001159223
2.100000,0.0714449001,0.0288199001,0.0148980251,0.0081324001,0.0051167751,0.0029917751,0.0021324001,0.0024761501
2.150000,0.1117334955,0.0542959955,0.0312647455,0.0210459955,0.0145928705,0.0100928705,0.0085772455,0.0070303705
2.200000,0.3265659164,0.2466752914,0.2106127914,0.1918002914,0.1784721664,0.1707065414,0.1665502914,0.1644721664
2.250000,0.2327764755,0.1475889755,0.1115889755,0.0922452255,0.0804483505,0.0743077255,0.0711202255,0.0698233505
2.300000,0.5054864155,0.4011895405,0.3535801655,0.3264864155,0.3112051655,0.3019395405,0.2968457905,0.2936270405
2.350000,0.6643886130,0.5331698630,0.4676698630,0.4267479880,0.3993261130,0.3832479880,0.3738104880,0.3707479880
2.400000,0.5977776953,0.4476995703,0.3676683203,0.3217464453,0.2895901953,0.2709651953,0.2596058203,0.2531995703
2.450000,0.5781982178,0.4070263428,0.3158388428,0.2598700928,0.2233857178,0.1984482178,0.1882763428,0.1841669678
2.500000,0.5603564252,0.3838251752,0.2950283002,0.2398408002,0.2061064252,0.1864033002,0.1773564252,0.1750595502
2.550000,0.5376518417,0.3457143417,0.2509174667,0.1942455917,0.1581205917,0.1351987167,0.1206674667,0.1173237167
2.600000,0.5132674844,0.3162987344,0.2176424844,0.1571581094,0.1197674844,0.0933924844,0.0785956094,0.0761581094
2.650000,0.5021498608,0.2977904858,0.1992748608,0.1417436108,0.1059311108,0.0837592358,0.0746029858,0.0698061108
2.700000,0.4833257309,0.2744663559,0.1753101059,0.1258413559,0.0934819809,0.0776226059,0.0701538559,0.0689351059
2.750000,0.4703163681,0.2645194931,0.1679101181,0.1168632431,0.0858632431,0.0662226181,0.0553319931,0.0533163681
2.800000,0.4562019794,0.2445144794,0.1426082294,0.0860457294,0.0562957294,0.0395301044,0.0320613544,0.0317644794
2.850000,0.4457715225,0.2335215225,0.1349746475,0.0832246475,0.0561933975,0.0388027725,0.0314277725,0.0270371475
2.900000,0.4273157334,0.2118313584,0.1145188584,0.0644094834,0.0414407334,0.0266126084,0.0210501084,0.0177844834
2.950000,0.4174043281,0.2042324531,0.1105137031,0.0620918281,0.0384199531,0.0309355781,0.0299043281,0.0256855781
3.000000,0.4083871386,0.1951996386,0.1060277636,0.0611683886,0.0371527636,0.0232308886,0.0165902636,0.0127308886
3.050000,0.3958288437,0.1807350937,0.0908757187,0.0437975937,0.0195632187,0.0064694687,0.0026725937,0.0005319687
3.100000,0.3925943525,0.1801881025,0.0902349775,0.0502037275,0.0280006025,0.0178756025,0.0127349775,0.0124068525
3.150000,0.3807309287,0.1687465537,0.0828715537,0.0422309287,0.0229965537,0.0132934287,0.0084965537,0.0064184287
3.200000,0.3708588748,0.1572807498,0.0750619998,0.0367963748,0.0173119998,0.0097651248,0.0049213748,0.0047963748
3.250000,0.3646867748,0.1522180248,0.0702492748,0.0361555248,0.0174836498,0.0101086498,0.0043273998,0.0062648998
3.300000,0.3584100121,0.1474568871,0.0656756371,0.0320975121,0.0166287621,0.0082850121,0.0035506371,0.0014568871
3.350000,0.3489724648,0.1373943398,0.0611443398,0.0265193398,0.0151599648,0.0090193398,0.0060662148,0.0063318398
3.400000,0.3402243398,0.1328024648,0.0561930898,0.0256930898,0.0120837148,0.0047555898,0.0027087148,0.0034274648
3.450000,0.3339575317,0.1253950317,0.0499106567,0.0225200317,0.0137231567,0.0070825317,0.0030356567,0.0018794067
3.500000,0.3288629804,0.1200192304,0.0486129804,0.0206442304,0.0100661054,0.0045348554,0.0019254804,0.0011754804
