sweep,energy_per_spin,abs_magnetization_per_spin
0,-0.7343750000,0.3359375000
1,-0.9843750000,0.4531250000
2,-1.2343750000,0.5546875000
3,-1.3281250000,0.6250000000
4,-1.3437500000,0.6562500000
5,-1.4062500000,0.6640625000
6,-1.5312500000,0.7500000000
7,-1.5156250000,0.7343750000
8,-1.4375000000,0.7187500000
9,-1.5312500000,0.7734375000
10,-1.5625000000,0.7890625000
11,-1.5625000000,0.8359375000
12,-1.5937500000,0.8515625000
13,-1.5781250000,0.8671875000
14,-1.6875000000,0.8984375000
15,-1.7500000000,0.9296875000
16,-1.6093750000,0.8828125000
17,-1.7812500000,0.9375000000
18,-1.7343750000,0.9062500000
19,-1.7968750000,0.9453125000
20,-1.9687500000,0.9921875000
21,-1.9687500000,0.9921875000
22,-1.8125000000,0.9453125000
23,-1.8281250000,0.9531250000
24,-1.7968750000,0.9375000000
25,-1.7968750000,0.9375000000
26,-1.8125000000,0.9375000000
27,-1.7500000000,0.9296875000
28,-1.8437500000,0.9609375000
29,-1.8281250000,0.9531250000
30,-1.8750000000,0.9687500000
31,-1.8281250000,0.9531250000
32,-1.9062500000,0.9765625000
33,-1.9062500000,0.9687500000
34,-1.8750000000,0.9687500000
35,-1.7968750000,0.9296875000
36,-1.7187500000,0.8984375000
37,-1.6562500000,0.8515625000
38,-1.7187500000,0.8828125000
39,-1.7656250000,0.9062500000
40,-1.7500000000,0.9140625000
41,-1.6875000000,0.8750000000
42,-1.6406250000,0.8671875000
43,-1.6875000000,0.9140625000
44,-1.7343750000,0.9218750000
45,-1.8593750000,0.9609375000
46,-1.7812500000,0.9375000000
47,-1.7187500000,0.8984375000
48,-1.7500000000,0.8750000000
49,-1.5781250000,0.8281250000
50,-1.5468750000,0.8359375000
51,-1.6562500000,0.8828125000
52,-1.6406250000,0.8671875000
53,-1.6250000000,0.8593750000
54,-1.6562500000,0.8828125000
55,-1.6718750000,0.8750000000
56,-1.6562500000,0.8671875000
57,-1.5781250000,0.8671875000
58,-1.6093750000,0.8906250000
59,-1.7500000000,0.8828125000
60,-1.8750000000,0.9531250000
61,-1.8437500000,0.9609375000
62,-1.8281250000,0.9531250000
63,-1.8125000000,0.9453125000
64,-1.6406250000,0.9062500000
65,-1.8125000000,0.9531250000
66,-1.6875000000,0.9140625000
67,-1.8750000000,0.9687500000
68,-1.9062500000,0.9687500000
69,-1.7656250000,0.9296875000
70,-1.6406250000,0.8750000000
71,-1.7187500000,0.9140625000
72,-1.7343750000,0.9218750000
73,-1.5781250000,0.8750000000
74,-1.5625000000,0.8125000000
75,-1.5156250000,0.8046875000
76,-1.6718750000,0.8906250000
77,-1.6562500000,0.8671875000
78,-1.7343750000,0.8984375000
79,-1.7968750000,0.9218750000
80,-1.7656250000,0.8593750000
81,-1.6875000000,0.8437500000
82,-1.5625000000,0.8593750000
83,-1.7187500000,0.9062500000
84,-1.6718750000,0.9062500000
85,-1.8593750000,0.9609375000
86,-1.7968750000,0.9296875000
87,-1.7656250000,0.9062500000
88,-1.8593750000,0.9531250000
89,-1.6718750000,0.8984375000
90,-1.7812500000,0.9375000000
91,-1.8281250000,0.9531250000
92,-1.9062500000,0.9687500000
