temperature,energy_per_spin,abs_magnetization_per_spin,heat_capacity,susceptibility
1.500000,-1.9496718750,0.9860859375,0.1978933056,0.0277399896
1.550000,-1.9418906250,0.9837109375,0.2231539802,0.0324170867
1.600000,-1.9300156250,0.9802812500,0.2614150146,0.0430803125
1.650000,-1.9138281250,0.9750625000,0.3019232094,0.0553327273
1.700000,-1.8980625000,0.9698437500,0.3617522491,0.0711801471
1.750000,-1.8754218750,0.9628984375,0.3772708367,0.0840892768
1.800000,-1.8603750000,0.9570703125,0.4553993827,0.1116838108
1.850000,-1.8339531250,0.9479218750,0.5294351899,0.1663213176
1.900000,-1.8100312500,0.9391484375,0.5134528393,0.1639019655
1.950000,-1.7828125000,0.9278671875,0.5687047995,0.2151980048
2.000000,-1.7442500000,0.9103203125,0.7776340000,0.3977621797
2.050000,-1.7058593750,0.8904140625,0.8859068263,0.6337520655
2.100000,-1.6668906250,0.8729218750,0.9143883078,0.7957235417
2.150000,-1.6119843750,0.8340546875,1.1024758112,1.9719083648
2.200000,-1.5343593750,0.7673359375,1.4604519499,20.8641262429
2.250000,-1.4911093750,0.7529921875,1.3429041852,8.9973664931
2.300000,-1.4189218750,0.6933203125,1.4671937500,34.7198127106
2.350000,-1.3314531250,0.5825156250,1.5535268334,43.2617489096
2.400000,-1.2549843750,0.5151015625,1.4106905273,31.0427002539
2.450000,-1.1715781250,0.4219843750,1.0705189400,23.6749974490
2.500000,-1.1398593750,0.4107890625,1.1620459900,21.7075541938
2.550000,-1.0775468750,0.3385703125,0.9274858804,15.7978233762
2.600000,-1.0265312500,0.2924375000,0.7955509985,11.9751710577
2.650000,-1.0067187500,0.2798203125,0.6572009612,10.9415348998
2.700000,-0.9660937500,0.2552578125,0.6146870713,9.0173366609
2.750000,-0.9441093750,0.2399765625,0.5992402562,7.8353657670
2.800000,-0.9158593750,0.2159765625,0.5275571987,6.5271553069
2.850000,-0.8952187500,0.2136875000,0.4909477070,6.1103542982
2.900000,-0.8601093750,0.1862968750,0.4602169367,4.9430009483
2.950000,-0.8396875000,0.1812421875,0.4185607584,4.4366393591
3.000000,-0.8154375000,0.1726640625,0.4297267778,3.9857597865
3.050000,-0.7941093750,0.1589765625,0.3798822292,3.2629138064
3.100000,-0.7834062500,0.1611796875,0.3822642820,3.2898229385
3.150000,-0.7606406250,0.1528437500,0.3465686508,2.9816742857
3.200000,-0.7448750000,0.1505781250,0.3261744141,2.7577334180
3.250000,-0.7329062500,0.1413828125,0.3142554083,2.4341111490
3.300000,-0.7162343750,0.1405703125,0.2870585342,2.3622378741
3.350000,-0.6984843750,0.1337968750,0.2887101303,2.0826346269
3.400000,-0.6843593750,0.1286406250,0.2842592939,1.9179300735
3.450000,-0.6681875000,0.1298359375,0.2703859693,1.9171884013
3.500000,-0.6577500000,0.1253203125,0.2433407347,1.7484646027
